ID,Técnico,Nombre,Nacimiento,LugarNacimiento,Muerte,LugarMuerte,Biografía,Trayectoria,Foto
Pompei,Roberto Pompei,Roberto Pompei,sin datos,sin datos,sin datos,sin datos,bio,trayectoria,https://blogger.googleusercontent.com/img/a/AVvXsEhKcYDPIHAt7rvGwKrVQcR8GkybQG4M5zo1yMtFmUklVo5trPICpQ9M8g0r_4GuOV4qTFs7R-ZwD40cwCTqVoTzuGIjuugQifJaN-JLmVEmK17j8-hpmeAX-4xcPBwQKnRIXgVgAvhIasoh5MPUcnozX-2KLlVsGXB1Tm_2x2Fy7VVtFz4UzEWrI5Y20SvD=w168-h223
Rinaldi,Gabriel Rinaldi,Gabriel Rinaldi,sin datos,sin datos,sin datos,sin datos,"dirigió en la B Nacional 2012/13.",trayectoria,https://blogger.googleusercontent.com/img/a/AVvXsEi0jZw8ie3tXIpaQGzJgC3fHVFkv6WA-NtX_vcWMbMwi44ODhYeToOEllrjDaAMFzbCXovN9VuuyDwOHP6K1bfMC9ZHczi0SurXfb3dQrMYPn6fDwiofABJexbrdT39JjmljhIGav6xX1ymk5k3G0jwZDH5_UGMdNY0k3RUEWQ9vNrjh3ceOguSGsFXs_Ww=w166-h222
Rivoira,Héctor Rivoira,Héctor Rivoira,sin datos,sin datos,sin datos,sin datos,"Era hincha de Huracán, aunque nunca había jugado en el club.  Lo dirigió en el Apertura 2009 y Clausura 2010, obteniendo importantes triunfos: 2-1 a Newell's, 3-2 a Vélez y 2-1 a Boca.  Aunque en el Apertura 2010 decayó el nivel del equipo y este renunció.  Lo volvieron a convocar para trabajar en la B Nacional en los campeonatos 2011/12 y 2012/13, trabajando hasta septiembre de 2012 al perder 1-2 con Sarmiento",trayectoria,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhJCeuHzbtzAYyKsSQ_Wp7fXH6EBEeZZIKOZPKE_AMAV5LCsm2mx2VGapb8hIIT3Vi4NRTRhYNBdtoevTlbigantFtdvK8ZW_FUhX6fY1tIPqmUu095nCsgzEUtda1CZm6k0VlfIogLzkXH/w222-h298/Rivoira+H%25C3%25A9ctor+01+%2528color%2529+G.jpg
Rossi,Néstor Rossi,Néstor Raúl Rossi,sin datos,sin datos,sin datos,sin datos,bio,trayectoria,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjyRxnKbTZo2bbotIVU6hcOtQe2kXO5bvvS-8LcIN6KLBbZ4Ma5aTFk4oqtpDVET2HsJLdPktoxWYzGJQrB5YOwRXJwOdUaRtMfN0DspmOoByNtimaeWzLpgiAjOkNmXDMSnh6zUdO6AQmA/w162-h216/Rossi+N%25C3%25A9stor+02+%2528color%2529+G.jpg
Sánchez,Juan A. Sánchez,Juan Amador Sánchez,sin datos,sin datos,sin datos,sin datos,bio,trayectoria,https://drive.google.com/uc?export=view&id=1gnXtglmnGayO3GMahtlMq_FPTu2cKAgq
Sava,Facundo Sava,Facundo Sava,sin datos,sin datos,sin datos,sin datos,bio,trayectoria,https://drive.google.com/uc?export=view&id=1gnXtglmnGayO3GMahtlMq_FPTu2cKAgq
Sbarra,Roberto Sbarra,Roberto Sbarra,sin datos,sin datos,sin datos,sin datos,bio,trayectoria,https://drive.google.com/uc?export=view&id=1gnXtglmnGayO3GMahtlMq_FPTu2cKAgq
Sosa,Osvaldo Sosa,Osvaldo Sosa,sin datos,sin datos,sin datos,sin datos,bio,trayectoria,https://drive.google.com/uc?export=view&id=1gnXtglmnGayO3GMahtlMq_FPTu2cKAgq
Spontón,Claudio Spontón,Claudio Spontón,sin datos,sin datos,sin datos,sin datos,bio,trayectoria,https://drive.google.com/uc?export=view&id=1gnXtglmnGayO3GMahtlMq_FPTu2cKAgq
Úbeda,Claudio Úbeda,Claudio Ángel Úbdeda,sin datos,sin datos,sin datos,sin datos,bio,trayectoria,https://drive.google.com/uc?export=view&id=1gnXtglmnGayO3GMahtlMq_FPTu2cKAgq
Vojvoda,Juan P. Vojvoda,Juan Pablo Vojvoda,sin datos,sin datos,sin datos,sin datos,bio,trayectoria,https://drive.google.com/uc?export=view&id=1gnXtglmnGayO3GMahtlMq_FPTu2cKAgq
Yebra,Alejandro Yebra,Alejandro Yebra,nacimiento,lugar,muerte,lugar,"Fue periodista del semanario Mundo Deportivo y mantuvo una larga trayectoria en el diario Clarín. También fue uno de los fundadores del Círculo Argentino de Técnicos en Fútbol, en 1948, siendo él su primer secretario general bajo la presidencia de Renato Cesarini. Ambos se dedicaron, a partir de allí, a la organización del Departamento de inferiores de River Plate, hasta que Yebra recaló en Sportivo Dock Sud y luego en Almagro. Con el conjunto tricolor tuvo mala suerte, ya que marchó puntero durante 27 fechas, pero luego enfermó y estuvo internado, perdiendo su equipo el campeonato a manos de Rosario Central. Mientras continuó con su profesión de periodista, ya que trabajó en Canal 7 y ganó dos premios Martin Fierro, en 1960 y 1961. Nuevamente en el fútbol, entre 1967 y 1968, fue secretario técnico de la AFA durante la etapa de entrenador de Renato Cesarini. En 1968 dirigió la revista deportiva Códex mientras condujo paralelamente a Huracán.  Estuvo poco tiempo con el Globito en 1969 y siguió con la dirección de Almagro y Nueva Chicago. En 1993 colaboró con Adolfo Pedernera para escribir su biografía: 'El Fútbol que Viví'. Falleció en mayo de 2004, a los 82 años.","Dock Sud (1950), Almagro (1951, 1968, 1970 y 1973), Huracán (1968-69) y Nueva Chicago (1972)",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEggpdOwrjNLF3OZXBmsI_4VLwMeXBlxAV-0eJjxWHiVfn4gZnRlDaZ_QEWNeCb7TRCg8wHfszzTWSFGtgsmYVNUUGuqLKgNIb0C39frkltOWRuPkt0lyYH6cq-4rUVPbAfF2qG29ZqRedxZ/w158-h220/Yebra+Alejandro+02+G.JPG
Zoppi,Juan C. Zoppi,Juan Carlos Zoppi,sin datos,sin datos,sin datos,sin datos,bio,trayectoria,https://drive.google.com/uc?export=view&id=1gnXtglmnGayO3GMahtlMq_FPTu2cKAgq







